iter	Passed	Remaining
0	5	1531
1	6	950
2	7	747
3	8	621
4	8	526
5	9	461
6	9	414
7	10	389
8	11	373
9	12	350
10	12	328
11	12	311
12	13	296
13	13	284
14	14	273
15	14	263
16	15	255
17	15	248
18	16	240
19	16	237
20	18	243
21	18	237
22	19	234
23	20	230
24	20	225
25	21	221
26	21	217
27	21	212
28	22	208
29	22	205
30	23	202
31	23	199
32	24	196
33	24	193
34	25	191
35	25	188
36	26	186
37	26	184
38	27	182
39	27	180
40	28	178
41	28	176
42	29	174
43	29	172
44	30	170
45	30	169
46	31	167
47	31	166
48	32	164
49	32	163
50	33	162
51	33	160
52	34	158
53	34	157
54	35	157
55	35	156
56	36	155
57	37	155
58	37	154
59	38	154
60	39	153
61	40	153
62	40	153
63	41	151
64	41	150
65	42	149
66	42	148
67	43	147
68	43	146
69	44	146
70	44	144
71	45	144
72	46	143
73	46	141
74	46	140
75	47	139
76	47	138
77	48	138
78	49	138
79	49	137
80	50	136
81	50	135
82	51	134
83	52	133
84	52	132
85	53	131
86	53	130
87	53	129
88	54	129
89	55	128
90	55	128
91	56	128
92	57	127
93	57	126
94	58	126
95	59	125
96	59	124
97	60	123
98	60	122
99	61	122
100	61	121
101	62	120
102	62	119
103	63	119
104	63	118
105	64	117
106	64	116
107	65	115
108	65	114
109	65	113
110	66	113
111	67	112
112	67	112
113	68	111
114	68	110
115	69	110
116	69	109
117	70	108
118	70	107
119	71	106
120	71	106
121	72	105
122	72	104
123	73	104
124	74	103
125	74	103
126	75	102
127	75	101
128	76	100
129	77	100
130	77	100
131	78	99
132	78	98
133	79	98
134	80	97
135	80	97
136	81	96
137	81	95
138	82	95
139	83	95
140	84	94
141	84	94
142	85	93
143	85	92
144	86	92
145	86	91
146	86	90
147	87	89
148	88	89
149	88	88
150	89	88
151	89	87
152	90	86
153	90	85
154	91	85
155	91	84
156	92	84
157	93	83
158	93	83
159	94	82
160	94	81
161	95	80
162	95	80
163	95	79
164	96	78
165	96	78
166	97	77
167	97	76
168	98	76
169	99	75
170	99	75
171	100	74
172	101	74
173	101	73
174	102	73
175	103	72
176	104	72
177	104	71
178	105	71
179	105	70
180	106	69
181	106	69
182	107	68
183	107	67
184	107	67
185	108	66
186	109	66
187	109	65
188	110	64
189	110	64
190	111	63
191	111	62
192	112	62
193	112	61
194	113	60
195	113	60
196	114	59
197	115	59
198	115	58
199	116	58
200	117	57
201	118	57
202	118	56
203	119	56
204	119	55
205	120	54
206	120	54
207	121	53
208	122	53
209	122	52
210	124	52
211	124	51
212	125	51
213	125	50
214	126	49
215	126	49
216	127	48
217	127	48
218	128	47
219	128	46
220	129	46
221	129	45
222	130	45
223	131	44
224	131	43
225	132	43
226	132	42
227	133	42
228	133	41
229	134	40
230	134	40
231	135	39
232	135	38
233	135	38
234	136	37
235	136	37
236	137	36
237	137	35
238	138	35
239	138	34
240	139	34
241	139	33
242	140	32
243	140	32
244	141	31
245	141	31
246	142	30
247	143	30
248	143	29
249	144	28
250	144	28
251	145	27
252	145	27
253	146	26
254	146	25
255	147	25
256	148	24
257	149	24
258	149	23
259	150	23
260	151	22
261	151	22
262	152	21
263	152	20
264	153	20
265	153	19
266	154	19
267	154	18
268	155	17
269	156	17
270	156	16
271	157	16
272	157	15
273	158	14
274	158	14
275	158	13
276	159	13
277	159	12
278	160	12
279	161	11
280	161	10
281	162	10
282	162	9
283	163	9
284	163	8
285	165	8
286	165	7
287	166	6
288	166	6
289	166	5
290	167	5
291	167	4
292	168	4
293	168	3
294	169	2
295	169	2
296	170	1
297	170	1
298	171	0
299	171	0
