League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Bundesliga,22/08/2025,Bayern Munich,RB Leipzig,1.24,3.91
Bundesliga,23/08/2025,Ein Frankfurt,Werder Bremen,1.55,2.35
Bundesliga,23/08/2025,Freiburg,Augsburg,1.89,1.87
Bundesliga,23/08/2025,Heidenheim,Wolfsburg,1.68,2.12
Bundesliga,23/08/2025,Leverkusen,Hoffenheim,1.46,2.62
Bundesliga,23/08/2025,Union Berlin,Stuttgart,1.66,2.16
Bundesliga,23/08/2025,St Pauli,Dortmund,1.75,02.02
Bundesliga,24/08/2025,Mainz,FC Koln,1.8,1.96
Bundesliga,24/08/2025,M'gladbach,Hamburg,1.5,2.47
Bundesliga,29/08/2025,Hamburg,St Pauli,02.02,1.76
Bundesliga,30/08/2025,Hoffenheim,Ein Frankfurt,1.47,2.58
Bundesliga,30/08/2025,RB Leipzig,Heidenheim,1.5,2.5
Bundesliga,30/08/2025,Stuttgart,M'gladbach,1.4,2.83
Bundesliga,30/08/2025,Werder Bremen,Leverkusen,1.54,2.38
Bundesliga,30/08/2025,Augsburg,Bayern Munich,1.32,3.23
Bundesliga,31/08/2025,Wolfsburg,Mainz,1.72,02.06
Bundesliga,31/08/2025,Dortmund,Union Berlin,1.49,2.53
Bundesliga,31/08/2025,FC Koln,Freiburg,1.97,1.79
Bundesliga,12/09/2025,Leverkusen,Ein Frankfurt,1.44,2.72
Bundesliga,13/09/2025,Freiburg,Stuttgart,1.58,2.29
Bundesliga,13/09/2025,Heidenheim,Dortmund,1.49,2.55
Bundesliga,13/09/2025,Mainz,RB Leipzig,1.63,2.21
Bundesliga,13/09/2025,Union Berlin,Hoffenheim,1.86,1.9
Bundesliga,13/09/2025,Wolfsburg,FC Koln,1.78,1.98
Bundesliga,13/09/2025,Bayern Munich,Hamburg,1.2,4.25
Bundesliga,14/09/2025,St Pauli,Augsburg,02.04,1.73
Bundesliga,14/09/2025,M'gladbach,Werder Bremen,1.48,2.55
Bundesliga,19/09/2025,Stuttgart,St Pauli,1.7,2.1
Bundesliga,20/09/2025,Augsburg,Mainz,1.88,1.87
Bundesliga,20/09/2025,Hamburg,Heidenheim,1.77,2
Bundesliga,20/09/2025,Hoffenheim,Bayern Munich,1.3,3.38
Bundesliga,20/09/2025,Werder Bremen,Freiburg,1.6,2.26
Bundesliga,20/09/2025,RB Leipzig,FC Koln,1.55,2.37
Bundesliga,21/09/2025,Ein Frankfurt,Union Berlin,1.58,2.29
Bundesliga,21/09/2025,Leverkusen,M'gladbach,1.43,2.7
Bundesliga,21/09/2025,Dortmund,Wolfsburg,1.44,2.67
Bundesliga,26/09/2025,Bayern Munich,Werder Bremen,1.17,4.79
Bundesliga,27/09/2025,Heidenheim,Augsburg,1.74,02.03
Bundesliga,27/09/2025,Mainz,Dortmund,1.57,2.33
Bundesliga,27/09/2025,St Pauli,Leverkusen,1.84,1.92
Bundesliga,27/09/2025,Wolfsburg,RB Leipzig,1.51,2.47
Bundesliga,27/09/2025,M'gladbach,Ein Frankfurt,1.48,2.56
Bundesliga,28/09/2025,Freiburg,Hoffenheim,1.58,2.28
Bundesliga,28/09/2025,FC Koln,Stuttgart,1.53,2.41
Bundesliga,28/09/2025,Union Berlin,Hamburg,1.78,1.97
Bundesliga,03/10/2025,Hoffenheim,FC Koln,1.53,2.42
Bundesliga,04/10/2025,Augsburg,Wolfsburg,1.7,02.09
Bundesliga,04/10/2025,Dortmund,RB Leipzig,1.36,03.03
Bundesliga,04/10/2025,Leverkusen,Union Berlin,1.75,02.02
Bundesliga,04/10/2025,Werder Bremen,St Pauli,1.74,02.03
Bundesliga,04/10/2025,Ein Frankfurt,Bayern Munich,1.28,3.54
Bundesliga,05/10/2025,Stuttgart,Heidenheim,1.46,2.62
Bundesliga,05/10/2025,Hamburg,Mainz,1.69,2.1
Bundesliga,05/10/2025,M'gladbach,Freiburg,1.7,2.1
Bundesliga,17/10/2025,Union Berlin,M'gladbach,1.83,1.93
Bundesliga,18/10/2025,FC Koln,Augsburg,1.57,2.31
Bundesliga,18/10/2025,Heidenheim,Werder Bremen,1.66,2.16
Bundesliga,18/10/2025,Mainz,Leverkusen,1.74,02.02
Bundesliga,18/10/2025,RB Leipzig,Hamburg,1.35,03.07
Bundesliga,18/10/2025,Wolfsburg,Stuttgart,1.58,2.28
Bundesliga,18/10/2025,Bayern Munich,Dortmund,1.31,3.31
Bundesliga,19/10/2025,Freiburg,Ein Frankfurt,1.6,2.27
Bundesliga,19/10/2025,St Pauli,Hoffenheim,1.77,1.99
Bundesliga,24/10/2025,Werder Bremen,Union Berlin,1.68,2.13
Bundesliga,25/10/2025,Augsburg,RB Leipzig,1.44,2.69
Bundesliga,25/10/2025,Ein Frankfurt,St Pauli,1.56,2.35
Bundesliga,25/10/2025,Hamburg,Wolfsburg,1.61,2.26
