fixture_id,league_id,season,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5,fetched_at,kickoff_utc
1388308,78,2025,Bayern München,RB Leipzig,1.24,3.91,2025-08-21T18:30:00+00:00,2025-08-22T18:30:00+00:00
1388311,78,2025,Eintracht Frankfurt,Werder Bremen,1.55,2.35,2025-08-22T13:30:00+00:00,2025-08-23T13:30:00+00:00
1388312,78,2025,SC Freiburg,FC Augsburg,1.89,1.87,2025-08-22T13:30:00+00:00,2025-08-23T13:30:00+00:00
1388313,78,2025,1. FC Heidenheim,VfL Wolfsburg,1.68,2.12,2025-08-22T13:30:00+00:00,2025-08-23T13:30:00+00:00
1388309,78,2025,Bayer Leverkusen,1899 Hoffenheim,1.46,2.62,2025-08-22T13:30:00+00:00,2025-08-23T13:30:00+00:00
1388316,78,2025,Union Berlin,VfB Stuttgart,1.66,2.16,2025-08-22T13:30:00+00:00,2025-08-23T13:30:00+00:00
1388315,78,2025,FC St. Pauli,Borussia Dortmund,1.75,2.02,2025-08-22T16:30:00+00:00,2025-08-23T16:30:00+00:00
1388314,78,2025,FSV Mainz 05,1. FC Köln,1.8,1.96,2025-08-23T13:30:00+00:00,2025-08-24T13:30:00+00:00
1388310,78,2025,Borussia Mönchengladbach,Hamburger SV,1.5,2.47,2025-08-23T15:30:00+00:00,2025-08-24T15:30:00+00:00
1388320,78,2025,Hamburger SV,FC St. Pauli,2.02,1.76,2025-08-28T18:30:00+00:00,2025-08-29T18:30:00+00:00
1388321,78,2025,1899 Hoffenheim,Eintracht Frankfurt,1.47,2.58,2025-08-29T13:30:00+00:00,2025-08-30T13:30:00+00:00
1388322,78,2025,RB Leipzig,1. FC Heidenheim,1.5,2.5,2025-08-29T13:30:00+00:00,2025-08-30T13:30:00+00:00
1388323,78,2025,VfB Stuttgart,Borussia Mönchengladbach,1.4,2.83,2025-08-29T13:30:00+00:00,2025-08-30T13:30:00+00:00
1388324,78,2025,Werder Bremen,Bayer Leverkusen,1.54,2.38,2025-08-29T13:30:00+00:00,2025-08-30T13:30:00+00:00
1388317,78,2025,FC Augsburg,Bayern München,1.32,3.23,2025-08-29T16:30:00+00:00,2025-08-30T16:30:00+00:00
1388325,78,2025,VfL Wolfsburg,FSV Mainz 05,1.72,2.06,2025-08-30T13:30:00+00:00,2025-08-31T13:30:00+00:00
1388318,78,2025,Borussia Dortmund,Union Berlin,1.49,2.53,2025-08-30T15:30:00+00:00,2025-08-31T15:30:00+00:00
1388319,78,2025,1. FC Köln,SC Freiburg,1.97,1.79,2025-08-30T17:30:00+00:00,2025-08-31T17:30:00+00:00
1388326,78,2025,Bayer Leverkusen,Eintracht Frankfurt,1.44,2.72,2025-09-11T18:30:00+00:00,2025-09-12T18:30:00+00:00
1388329,78,2025,SC Freiburg,VfB Stuttgart,1.58,2.29,2025-09-12T13:30:00+00:00,2025-09-13T13:30:00+00:00
1388330,78,2025,1. FC Heidenheim,Borussia Dortmund,1.49,2.55,2025-09-12T13:30:00+00:00,2025-09-13T13:30:00+00:00
1388331,78,2025,FSV Mainz 05,RB Leipzig,1.63,2.21,2025-09-12T13:30:00+00:00,2025-09-13T13:30:00+00:00
1388333,78,2025,Union Berlin,1899 Hoffenheim,1.86,1.9,2025-09-12T13:30:00+00:00,2025-09-13T13:30:00+00:00
1388334,78,2025,VfL Wolfsburg,1. FC Köln,1.78,1.98,2025-09-12T13:30:00+00:00,2025-09-13T13:30:00+00:00
1388327,78,2025,Bayern München,Hamburger SV,1.2,4.25,2025-09-12T16:30:00+00:00,2025-09-13T16:30:00+00:00
1388332,78,2025,FC St. Pauli,FC Augsburg,2.04,1.73,2025-09-13T13:30:00+00:00,2025-09-14T13:30:00+00:00
1388328,78,2025,Borussia Mönchengladbach,Werder Bremen,1.48,2.55,2025-09-13T15:30:00+00:00,2025-09-14T15:30:00+00:00
1388342,78,2025,VfB Stuttgart,FC St. Pauli,1.7,2.1,2025-09-18T18:30:00+00:00,2025-09-19T18:30:00+00:00
1388335,78,2025,FC Augsburg,FSV Mainz 05,1.88,1.87,2025-09-19T13:30:00+00:00,2025-09-20T13:30:00+00:00
