League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Liga,15/08/2025,Girona,Vallecano,2.14,1.68
Liga,15/08/2025,Villarreal,Oviedo,1.84,1.92
Liga,16/08/2025,Mallorca,Barcelona,1.6,2.25
Liga,16/08/2025,Alaves,Levante,2.58,1.47
Liga,16/08/2025,Valencia,Sociedad,2.76,1.41
Liga,17/08/2025,Celta,Getafe,2.36,1.54
Liga,17/08/2025,Ath Bilbao,Sevilla,02.07,1.71
Liga,17/08/2025,Espanol,Ath Madrid,2.14,1.66
Liga,18/08/2025,Elche,Betis,02.08,1.7
Liga,19/08/2025,Real Madrid,Osasuna,1.49,2.56
Liga,22/08/2025,Betis,Alaves,2.23,1.62
Liga,23/08/2025,Mallorca,Celta,2.34,1.55
Liga,23/08/2025,Ath Madrid,Elche,1.76,2
Liga,23/08/2025,Levante,Barcelona,1.35,03.02
Liga,24/08/2025,Osasuna,Valencia,2.34,1.55
Liga,24/08/2025,Sociedad,Espanol,2.26,1.59
Liga,24/08/2025,Villarreal,Girona,1.64,2.17
Liga,24/08/2025,Oviedo,Real Madrid,1.7,02.09
Liga,25/08/2025,Ath Bilbao,Vallecano,2.18,1.64
Liga,25/08/2025,Sevilla,Getafe,2.55,1.48
Liga,27/08/2025,Celta,Betis,1.85,1.9
Liga,29/08/2025,Elche,Levante,2.24,1.61
Liga,29/08/2025,Valencia,Getafe,2.83,1.4
Liga,30/08/2025,Alaves,Ath Madrid,2.12,1.67
Liga,30/08/2025,Oviedo,Sociedad,2.44,1.52
Liga,30/08/2025,Girona,Sevilla,02.02,1.74
Liga,30/08/2025,Real Madrid,Mallorca,1.53,2.39
Liga,31/08/2025,Celta,Villarreal,1.67,2.12
Liga,31/08/2025,Betis,Ath Bilbao,2.17,1.64
Liga,31/08/2025,Espanol,Osasuna,2.22,1.61
Liga,31/08/2025,Vallecano,Barcelona,1.41,2.74
Liga,12/09/2025,Sevilla,Elche,2.18,1.66
Liga,13/09/2025,Getafe,Oviedo,2.71,1.42
Liga,13/09/2025,Sociedad,Real Madrid,1.73,02.04
Liga,13/09/2025,Ath Bilbao,Alaves,2.21,1.62
Liga,13/09/2025,Ath Madrid,Villarreal,1.7,02.09
Liga,14/09/2025,Celta,Girona,1.71,02.07
Liga,14/09/2025,Levante,Betis,1.99,1.77
Liga,14/09/2025,Osasuna,Vallecano,2.22,1.62
Liga,14/09/2025,Barcelona,Valencia,1.31,3.26
Liga,15/09/2025,Espanol,Mallorca,2.24,1.6
Liga,19/09/2025,Betis,Sociedad,1.78,1.99
