League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Ligue 1,15/08/2025,Rennes,Marseille,1.79,1.97
Ligue 1,16/08/2025,Lens,Lyon,1.66,2.14
Ligue 1,16/08/2025,Monaco,Le Havre,1.51,2.44
Ligue 1,16/08/2025,Nice,Toulouse,1.98,1.78
Ligue 1,17/08/2025,Brest,Lille,1.87,1.87
Ligue 1,17/08/2025,Angers,Paris FC,2.16,1.65
Ligue 1,17/08/2025,Auxerre,Lorient,1.9,1.85
Ligue 1,17/08/2025,Metz,Strasbourg,1.86,1.89
Ligue 1,17/08/2025,Nantes,Paris SG,1.44,2.66
Ligue 1,22/08/2025,Paris SG,Angers,1.24,3.77
Ligue 1,23/08/2025,Marseille,Paris FC,1.64,2.17
Ligue 1,23/08/2025,Nice,Auxerre,1.72,02.05
Ligue 1,23/08/2025,Lyon,Metz,1.5,2.46
Ligue 1,24/08/2025,Lorient,Rennes,1.94,1.81
Ligue 1,24/08/2025,Le Havre,Lens,1.82,1.93
Ligue 1,24/08/2025,Strasbourg,Nantes,1.88,1.87
Ligue 1,24/08/2025,Toulouse,Brest,1.89,1.85
Ligue 1,24/08/2025,Lille,Monaco,1.67,2.12
Ligue 1,29/08/2025,Lens,Brest,1.8,1.96
Ligue 1,30/08/2025,Lorient,Lille,1.85,1.89
Ligue 1,30/08/2025,Nantes,Auxerre,2.14,1.66
Ligue 1,30/08/2025,Toulouse,Paris SG,1.56,2.34
Ligue 1,31/08/2025,Angers,Rennes,2,1.76
Ligue 1,31/08/2025,Le Havre,Nice,1.85,1.9
Ligue 1,31/08/2025,Monaco,Strasbourg,1.61,2.23
Ligue 1,31/08/2025,Paris FC,Metz,1.92,1.83
Ligue 1,31/08/2025,Lyon,Marseille,1.53,2.4
Ligue 1,12/09/2025,Marseille,Lorient,1.47,2.61
Ligue 1,13/09/2025,Nice,Nantes,1.86,1.9
Ligue 1,13/09/2025,Auxerre,Monaco,1.52,2.44
Ligue 1,14/09/2025,Lille,Toulouse,1.78,1.98
Ligue 1,14/09/2025,Brest,Paris FC,1.74,02.04
Ligue 1,14/09/2025,Metz,Angers,02.03,1.74
Ligue 1,14/09/2025,Paris SG,Lens,1.35,03.06
Ligue 1,14/09/2025,Strasbourg,Le Havre,1.76,2
Ligue 1,14/09/2025,Rennes,Lyon,1.75,02.02
Ligue 1,19/09/2025,Lyon,Angers,1.73,02.04
Ligue 1,20/09/2025,Nantes,Rennes,1.98,1.78
Ligue 1,20/09/2025,Brest,Nice,1.69,02.08
Ligue 1,20/09/2025,Lens,Lille,1.78,1.97
Ligue 1,21/09/2025,Paris FC,Strasbourg,1.76,1.99
Ligue 1,21/09/2025,Auxerre,Toulouse,1.98,1.77
Ligue 1,21/09/2025,Le Havre,Lorient,1.91,1.84
Ligue 1,21/09/2025,Monaco,Metz,1.37,2.96
Ligue 1,22/09/2025,Marseille,Paris SG,1.51,2.46
Ligue 1,26/09/2025,Strasbourg,Marseille,1.73,02.05
Ligue 1,27/09/2025,Lorient,Monaco,1.51,2.45
Ligue 1,27/09/2025,Toulouse,Nantes,02.05,1.72
Ligue 1,27/09/2025,Paris SG,Auxerre,1.29,3.4
Ligue 1,28/09/2025,Nice,Paris FC,1.58,2.29
Ligue 1,28/09/2025,Angers,Brest,1.96,1.8
Ligue 1,28/09/2025,Lille,Lyon,1.73,02.03
Ligue 1,28/09/2025,Metz,Le Havre,1.95,1.81
Ligue 1,28/09/2025,Rennes,Lens,1.71,02.07
Ligue 1,03/10/2025,Paris FC,Lorient,1.68,2.12
