fixture_id,league_id,season,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5,fetched_at,kickoff_utc
1387706,61,2025,Rennes,Marseille,1.79,1.97,2025-08-14T18:45:00+00:00,2025-08-15T18:45:00+00:00
1387701,61,2025,Lens,Lyon,1.66,2.14,2025-08-15T15:00:00+00:00,2025-08-16T15:00:00+00:00
1387703,61,2025,Monaco,Le Havre,1.51,2.44,2025-08-15T17:00:00+00:00,2025-08-16T17:00:00+00:00
1387705,61,2025,Nice,Toulouse,1.98,1.78,2025-08-15T19:05:00+00:00,2025-08-16T19:05:00+00:00
1387700,61,2025,Stade Brestois 29,Lille,1.87,1.87,2025-08-16T13:00:00+00:00,2025-08-17T13:00:00+00:00
1387698,61,2025,Angers,Paris FC,2.16,1.65,2025-08-16T15:15:00+00:00,2025-08-17T15:15:00+00:00
1387699,61,2025,Auxerre,Lorient,1.9,1.85,2025-08-16T15:15:00+00:00,2025-08-17T15:15:00+00:00
1387702,61,2025,Metz,Strasbourg,1.86,1.89,2025-08-16T15:15:00+00:00,2025-08-17T15:15:00+00:00
1387704,61,2025,Nantes,Paris Saint Germain,1.44,2.66,2025-08-16T18:45:00+00:00,2025-08-17T18:45:00+00:00
1387713,61,2025,Paris Saint Germain,Angers,1.24,3.77,2025-08-21T18:45:00+00:00,2025-08-22T18:45:00+00:00
1387711,61,2025,Marseille,Paris FC,1.64,2.17,2025-08-22T15:00:00+00:00,2025-08-23T15:00:00+00:00
1387712,61,2025,Nice,Auxerre,1.72,2.05,2025-08-22T17:00:00+00:00,2025-08-23T17:00:00+00:00
1387710,61,2025,Lyon,Metz,1.5,2.46,2025-08-22T19:05:00+00:00,2025-08-23T19:05:00+00:00
1387709,61,2025,Lorient,Rennes,1.94,1.81,2025-08-23T13:00:00+00:00,2025-08-24T13:00:00+00:00
1387707,61,2025,Le Havre,Lens,1.82,1.93,2025-08-23T15:15:00+00:00,2025-08-24T15:15:00+00:00
1387714,61,2025,Strasbourg,Nantes,1.88,1.87,2025-08-23T15:15:00+00:00,2025-08-24T15:15:00+00:00
1387715,61,2025,Toulouse,Stade Brestois 29,1.89,1.85,2025-08-23T15:15:00+00:00,2025-08-24T15:15:00+00:00
1387708,61,2025,Lille,Monaco,1.67,2.12,2025-08-23T18:45:00+00:00,2025-08-24T18:45:00+00:00
1387718,61,2025,Lens,Stade Brestois 29,1.8,1.96,2025-08-28T18:45:00+00:00,2025-08-29T18:45:00+00:00
1387719,61,2025,Lorient,Lille,1.85,1.89,2025-08-29T15:00:00+00:00,2025-08-30T15:00:00+00:00
1387722,61,2025,Nantes,Auxerre,2.14,1.66,2025-08-29T17:00:00+00:00,2025-08-30T17:00:00+00:00
1387724,61,2025,Toulouse,Paris Saint Germain,1.56,2.34,2025-08-29T19:05:00+00:00,2025-08-30T19:05:00+00:00
1387716,61,2025,Angers,Rennes,2.0,1.76,2025-08-30T13:00:00+00:00,2025-08-31T13:00:00+00:00
1387717,61,2025,Le Havre,Nice,1.85,1.9,2025-08-30T15:15:00+00:00,2025-08-31T15:15:00+00:00
1387721,61,2025,Monaco,Strasbourg,1.61,2.23,2025-08-30T15:15:00+00:00,2025-08-31T15:15:00+00:00
1387723,61,2025,Paris FC,Metz,1.92,1.83,2025-08-30T15:15:00+00:00,2025-08-31T15:15:00+00:00
1387720,61,2025,Lyon,Marseille,1.53,2.4,2025-08-30T18:45:00+00:00,2025-08-31T18:45:00+00:00
1387728,61,2025,Marseille,Lorient,1.47,2.61,2025-09-11T18:45:00+00:00,2025-09-12T18:45:00+00:00
1387730,61,2025,Nice,Nantes,1.86,1.9,2025-09-12T15:00:00+00:00,2025-09-13T15:00:00+00:00
1387725,61,2025,Auxerre,Monaco,1.52,2.44,2025-09-12T19:05:00+00:00,2025-09-13T19:05:00+00:00
1387727,61,2025,Lille,Toulouse,1.78,1.98,2025-09-13T13:00:00+00:00,2025-09-14T13:00:00+00:00
1387726,61,2025,Stade Brestois 29,Paris FC,1.74,2.04,2025-09-13T15:15:00+00:00,2025-09-14T15:15:00+00:00
1387729,61,2025,Metz,Angers,2.03,1.74,2025-09-13T15:15:00+00:00,2025-09-14T15:15:00+00:00
1387731,61,2025,Paris Saint Germain,Lens,1.35,3.06,2025-09-13T15:15:00+00:00,2025-09-14T15:15:00+00:00
1387733,61,2025,Strasbourg,Le Havre,1.76,2.0,2025-09-13T15:15:00+00:00,2025-09-14T15:15:00+00:00
1387732,61,2025,Rennes,Lyon,1.75,2.02,2025-09-13T18:45:00+00:00,2025-09-14T18:45:00+00:00
1387738,61,2025,Lyon,Angers,1.73,2.04,2025-09-18T18:45:00+00:00,2025-09-19T18:45:00+00:00
1387741,61,2025,Nantes,Rennes,1.98,1.78,2025-09-19T15:00:00+00:00,2025-09-20T15:00:00+00:00
1387735,61,2025,Stade Brestois 29,Nice,1.69,2.08,2025-09-19T17:00:00+00:00,2025-09-20T17:00:00+00:00
