League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Serie A,23/08/2025,Genoa,Lecce,2.36,1.55
Serie A,23/08/2025,Sassuolo,Napoli,1.92,1.83
Serie A,23/08/2025,Milan,Cremonese,1.61,2.25
Serie A,23/08/2025,Roma,Bologna,2.11,1.69
Serie A,24/08/2025,Cagliari,Fiorentina,02.03,1.74
Serie A,24/08/2025,Como,Lazio,1.98,1.78
Serie A,24/08/2025,Atalanta,Pisa,1.61,2.24
Serie A,24/08/2025,Juventus,Parma,1.72,02.06
Serie A,25/08/2025,Udinese,Verona,2.14,1.67
Serie A,25/08/2025,Inter,Torino,1.68,2.12
Serie A,29/08/2025,Cremonese,Sassuolo,02.04,1.74
Serie A,29/08/2025,Lecce,Milan,1.96,1.81
Serie A,30/08/2025,Bologna,Como,2.23,1.61
Serie A,30/08/2025,Parma,Atalanta,1.86,1.89
Serie A,30/08/2025,Napoli,Cagliari,1.78,1.98
Serie A,30/08/2025,Pisa,Roma,1.97,1.79
Serie A,31/08/2025,Genoa,Juventus,2.28,1.59
Serie A,31/08/2025,Torino,Fiorentina,2.24,1.6
Serie A,31/08/2025,Inter,Udinese,1.61,2.24
Serie A,31/08/2025,Lazio,Verona,1.84,1.91
Serie A,13/09/2025,Cagliari,Parma,2.21,1.63
Serie A,13/09/2025,Juventus,Inter,2.2,1.63
Serie A,13/09/2025,Fiorentina,Napoli,2.32,1.57
Serie A,14/09/2025,Roma,Torino,1.99,1.77
Serie A,14/09/2025,Atalanta,Lecce,1.75,02.02
Serie A,14/09/2025,Pisa,Udinese,2.28,1.59
Serie A,14/09/2025,Sassuolo,Lazio,1.84,1.92
Serie A,14/09/2025,Milan,Bologna,1.91,1.84
Serie A,15/09/2025,Verona,Cremonese,2.24,1.61
Serie A,15/09/2025,Como,Genoa,02.08,1.71
Serie A,19/09/2025,Lecce,Cagliari,2.55,1.49
Serie A,20/09/2025,Bologna,Genoa,2.39,1.54
Serie A,20/09/2025,Verona,Juventus,2.18,1.64
Serie A,20/09/2025,Udinese,Milan,1.99,1.78
Serie A,21/09/2025,Lazio,Roma,2.19,1.64
Serie A,21/09/2025,Cremonese,Parma,2.24,1.61
Serie A,21/09/2025,Torino,Atalanta,2.15,1.66
Serie A,21/09/2025,Fiorentina,Como,02.09,1.7
Serie A,21/09/2025,Inter,Sassuolo,1.54,2.36
Serie A,22/09/2025,Napoli,Pisa,1.78,1.98
Serie A,27/09/2025,Como,Cremonese,1.85,1.9
Serie A,27/09/2025,Juventus,Atalanta,1.97,1.79
Serie A,27/09/2025,Cagliari,Inter,1.76,02.01
Serie A,28/09/2025,Sassuolo,Udinese,02.07,1.71
Serie A,28/09/2025,Pisa,Fiorentina,2.25,1.61
Serie A,28/09/2025,Roma,Verona,02.08,1.71
Serie A,28/09/2025,Lecce,Bologna,2.52,1.49
Serie A,28/09/2025,Milan,Napoli,2.12,1.68
Serie A,29/09/2025,Parma,Torino,2.19,1.64
