fixture_id,league_id,season,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5,fetched_at,kickoff_utc
1377867,135,2025,Genoa,Lecce,2.36,1.55,2025-08-22T16:30:00+00:00,2025-08-23T16:30:00+00:00
1377872,135,2025,Sassuolo,Napoli,1.92,1.83,2025-08-22T16:30:00+00:00,2025-08-23T16:30:00+00:00
1377870,135,2025,AC Milan,Cremonese,1.61,2.25,2025-08-22T18:45:00+00:00,2025-08-23T18:45:00+00:00
1377871,135,2025,AS Roma,Bologna,2.11,1.69,2025-08-22T18:45:00+00:00,2025-08-23T18:45:00+00:00
1377865,135,2025,Cagliari,Fiorentina,2.03,1.74,2025-08-23T16:30:00+00:00,2025-08-24T16:30:00+00:00
1377866,135,2025,Como,Lazio,1.98,1.78,2025-08-23T16:30:00+00:00,2025-08-24T16:30:00+00:00
1377864,135,2025,Atalanta,Pisa,1.61,2.24,2025-08-23T18:45:00+00:00,2025-08-24T18:45:00+00:00
1377869,135,2025,Juventus,Parma,1.72,2.06,2025-08-23T18:45:00+00:00,2025-08-24T18:45:00+00:00
1377873,135,2025,Udinese,Hellas Verona,2.14,1.67,2025-08-24T16:30:00+00:00,2025-08-25T16:30:00+00:00
1377868,135,2025,Inter,Torino,1.68,2.12,2025-08-24T18:45:00+00:00,2025-08-25T18:45:00+00:00
1377875,135,2025,Cremonese,Sassuolo,2.04,1.74,2025-08-28T16:30:00+00:00,2025-08-29T16:30:00+00:00
1377879,135,2025,Lecce,AC Milan,1.96,1.81,2025-08-28T18:45:00+00:00,2025-08-29T18:45:00+00:00
1377874,135,2025,Bologna,Como,2.23,1.61,2025-08-29T16:30:00+00:00,2025-08-30T16:30:00+00:00
1377881,135,2025,Parma,Atalanta,1.86,1.89,2025-08-29T16:30:00+00:00,2025-08-30T16:30:00+00:00
1377880,135,2025,Napoli,Cagliari,1.78,1.98,2025-08-29T18:45:00+00:00,2025-08-30T18:45:00+00:00
1377882,135,2025,Pisa,AS Roma,1.97,1.79,2025-08-29T18:45:00+00:00,2025-08-30T18:45:00+00:00
1377876,135,2025,Genoa,Juventus,2.28,1.59,2025-08-30T16:30:00+00:00,2025-08-31T16:30:00+00:00
1377883,135,2025,Torino,Fiorentina,2.24,1.6,2025-08-30T16:30:00+00:00,2025-08-31T16:30:00+00:00
1377877,135,2025,Inter,Udinese,1.61,2.24,2025-08-30T18:45:00+00:00,2025-08-31T18:45:00+00:00
1377878,135,2025,Lazio,Hellas Verona,1.84,1.91,2025-08-30T18:45:00+00:00,2025-08-31T18:45:00+00:00
1377885,135,2025,Cagliari,Parma,2.21,1.63,2025-09-12T13:00:00+00:00,2025-09-13T13:00:00+00:00
1377888,135,2025,Juventus,Inter,2.2,1.63,2025-09-12T16:00:00+00:00,2025-09-13T16:00:00+00:00
1377887,135,2025,Fiorentina,Napoli,2.32,1.57,2025-09-12T18:45:00+00:00,2025-09-13T18:45:00+00:00
1377891,135,2025,AS Roma,Torino,1.99,1.77,2025-09-13T10:30:00+00:00,2025-09-14T10:30:00+00:00
1377884,135,2025,Atalanta,Lecce,1.75,2.02,2025-09-13T13:00:00+00:00,2025-09-14T13:00:00+00:00
1377890,135,2025,Pisa,Udinese,2.28,1.59,2025-09-13T13:00:00+00:00,2025-09-14T13:00:00+00:00
1377892,135,2025,Sassuolo,Lazio,1.84,1.92,2025-09-13T16:00:00+00:00,2025-09-14T16:00:00+00:00
1377889,135,2025,AC Milan,Bologna,1.91,1.84,2025-09-13T18:45:00+00:00,2025-09-14T18:45:00+00:00
1377893,135,2025,Hellas Verona,Cremonese,2.24,1.61,2025-09-14T16:30:00+00:00,2025-09-15T16:30:00+00:00
1377886,135,2025,Como,Genoa,2.08,1.71,2025-09-14T18:45:00+00:00,2025-09-15T18:45:00+00:00
1377899,135,2025,Lecce,Cagliari,2.55,1.49,2025-09-18T18:45:00+00:00,2025-09-19T18:45:00+00:00
1377894,135,2025,Bologna,Genoa,2.39,1.54,2025-09-19T13:00:00+00:00,2025-09-20T13:00:00+00:00
1377903,135,2025,Hellas Verona,Juventus,2.18,1.64,2025-09-19T16:00:00+00:00,2025-09-20T16:00:00+00:00
1377902,135,2025,Udinese,AC Milan,1.99,1.78,2025-09-19T18:45:00+00:00,2025-09-20T18:45:00+00:00
1377898,135,2025,Lazio,AS Roma,2.19,1.64,2025-09-20T10:30:00+00:00,2025-09-21T10:30:00+00:00
1377895,135,2025,Cremonese,Parma,2.24,1.61,2025-09-20T13:00:00+00:00,2025-09-21T13:00:00+00:00
1377901,135,2025,Torino,Atalanta,2.15,1.66,2025-09-20T13:00:00+00:00,2025-09-21T13:00:00+00:00
1377896,135,2025,Fiorentina,Como,2.09,1.7,2025-09-20T16:00:00+00:00,2025-09-21T16:00:00+00:00
1377897,135,2025,Inter,Sassuolo,1.54,2.36,2025-09-20T18:45:00+00:00,2025-09-21T18:45:00+00:00
1377900,135,2025,Napoli,Pisa,1.78,1.98,2025-09-21T18:45:00+00:00,2025-09-22T18:45:00+00:00
1377905,135,2025,Como,Cremonese,1.85,1.9,2025-09-26T13:00:00+00:00,2025-09-27T13:00:00+00:00
1377907,135,2025,Juventus,Atalanta,1.97,1.79,2025-09-26T16:00:00+00:00,2025-09-27T16:00:00+00:00
1377904,135,2025,Cagliari,Inter,1.76,2.01,2025-09-26T18:45:00+00:00,2025-09-27T18:45:00+00:00
1377913,135,2025,Sassuolo,Udinese,2.07,1.71,2025-09-27T10:30:00+00:00,2025-09-28T10:30:00+00:00
